video,puzzle
47,57
63,61
58,31
53,56
53,61
63,61
53,61
39,36
58,51
50,51
53,61
63,61
61,71
55,46
31,56
50,56
50,56
58,56
55,61
53,46
66,41
72,66
55,56
61,61
39,46
39,31
61,66
58,46
39,46
55,41
47,51
64,61
66,71
72,31
61,61
61,66
66,66
66,66
36,36
39,51
42,51
58,51
55,51
50,41
63,66
69,46
49,47
63,51
53,46
47,51
57,56
47,41
50,46
55,71
69,66
26,42
33,32
56,46
58,41
44,51
58,61
69,66
34,46
36,36
36,61
50,26
55,66
42,26
65,44
44,36
39,51
58,61
63,66
74,66
58,51
45,31
49,61
63,66
39,46
42,56
55,56
61,36
66,56
63,56
44,41
63,66
53,56
42,56
34,31
61,56
47,46
66,46
69,61
44,48
47,51
63,51
66,56
69,71
39,41
61,61
69,66
66,61
33,41
50,51
61,51
42,56
50,56
51,33
50,56
58,71
61,56
39,51
46,66
59,56
55,66
42,41
55,46
58,66
58,56
39,51
50,51
50,56
39,56
48,46
34,46
58,61
44,56
50,41
47,46
29,26
50,56
54,56
50,51
47,46
44,66
67,66
58,46
44,56
42,41
44,61
44,51
50,52
39,51
44,41
53,66
48,61
55,31
44,51
40,41
34,41
42,46
58,56
50,51
53,61
58,66
55,71
54,61
47,61
42,41
61,66
53,61
51,58
63,31
61,61
55,61
40,31
61,61
47,36
55,41
53,37
50,43
47,61
31,39
61,51
35,51
54,66
55,71
53,41
58,36
56,51
50,51
39,51
63,61
50,61
66,56
58,71
53,51
42,36
55,61
53,66
42,41
50,41
55,56
34,51
50,56
42,56
36,46
55,52
58,61
53,61
